WBS ID,Phase,Work Package,Description,Primary Deliverable,Owner Role,Effort (Person-Days),Duration (Weeks),Dependencies,Risk Level,Confidence,Notes
1,Initiation,Baseline and scope lock,"Confirm target scope: microservices hardening, gateway, tests, data ownership, blockchain reliability.",Approved scope and milestone plan,Tech Lead + Product Owner,4,1,None,Medium,High,"Use current docs as baseline; freeze non-critical feature requests during execution."
1.1,Initiation,Environment and branch strategy,"Define release branches, dev/staging/prod parity, secrets handling baseline.",Environment strategy document,DevOps + Tech Lead,3,1,1,Medium,High,"Prevent environment drift before deeper refactor."
2,Architecture,API gateway implementation,"Build/enable api-gateway with unified routing, auth forwarding, CORS, request IDs, and throttling.",Gateway service with routing contracts,Backend Lead,12,2,1;1.1,High,Medium,"Current client points directly to service ports; gateway migration needs careful rollout."
2.1,Architecture,WebSocket gateway implementation,"Introduce websocket-gateway in front of game-service with auth and session routing.",WebSocket gateway service,Realtime Engineer,8,2,2,High,Medium,"Game flow is latency sensitive; include load test on critical events."
2.2,Architecture,Service contract versioning,"Standardize v1 contracts and error envelope across all services.",Published API contract set,Backend Architect,6,1,2,Medium,High,"Use OpenAPI and shared response schema package."
3,Service Extraction,Auth/User boundary hardening,"Finalize separation of auth-service and user-service responsibilities and remove coupling.",Separated service responsibilities,Backend Team,10,2,2.2,Medium,Medium,"Align JWT and passport usage across services."
3.1,Service Extraction,Inventory/market/trade orchestration cleanup,"Refactor cross-service calls for listing, trade lifecycle, and idempotency.",Reliable trade orchestration path,Backend Team,14,3,3,High,Medium,"Critical business path; prioritize compensating actions for failures."
3.2,Service Extraction,Blockchain service hardening,"Normalize transaction lifecycle handling, retries, and receipt confirmation APIs.",Stable blockchain integration API,Blockchain Engineer,12,2,3.1,High,Medium,"Hardhat/local chain parity checks required before production chains."
3.3,Service Extraction,Wallet service integration,"Converge wallet-service behavior and ownership model with user and blockchain domains.",Wallet integration complete,Backend Team,8,2,3;3.2,Medium,Medium,"Wallet metadata and ownership checks should be single source of truth."
4,Data,Per-service data ownership design,"Split data boundaries from shared schema toward service-owned schemas/datastores.",Data ownership blueprint,Data Architect,8,2,3.1,High,Medium,"Current architecture indicates shared DB usage; migration requires phased rollout."
4.1,Data,Schema migration and data move,"Implement migrations for auth/user/inventory/market/trade boundaries and backfill data.",Executed migration scripts and verified data,DB Engineer,16,3,4,High,Medium,"Plan rollback scripts and reconciliation checks before cutover."
4.2,Data,Read model and caching strategy,"Add read models/caching where cross-service read performance is needed.",Read model/caching implementation,Backend + Infra,8,2,4.1,Medium,Medium,"Prefer explicit APIs/events over direct DB cross-reads."
5,Integration,Event bus and outbox pattern,"Introduce outbox events for trade/market/inventory consistency and async notifications.",Event-driven consistency pipeline,Backend Architect + DevOps,14,3,3.1;4.1,High,Low,"Major architectural change; scope tightly to core domain events first."
5.1,Integration,Notification service rollout,"Implement notification-service for email verification and operational alerts.",Notification service in production path,Backend Engineer,6,1,5,Medium,Medium,"Start with idempotent email events and retry-safe handlers."
6,Frontend,Gateway-first API integration,"Refactor frontend host config to route primarily via gateway; retain fallback for staged rollout.",Frontend integrated with gateway,Frontend Lead,8,2,2;2.2,Medium,High,"Reduce direct service URL coupling in client environment config."
6.1,Frontend,Realtime client adaptation,"Update socket client handshake and namespace routing for websocket-gateway.",Realtime client compatibility,Frontend + Realtime Engineer,6,1,2.1,Medium,Medium,"Validate reconnect and session resume behaviors."
6.2,Frontend,Admin and role-based flow verification,"Validate admin/user route protections and OAuth callback stability after backend changes.",Verified auth/role UX flows,Frontend + QA,5,1,3,Medium,Medium,"Regression risk around protected routes and verification popups."
7,Security and Ops,Security baseline hardening,"Apply service-level rate limits, helmet policies, JWT validation consistency, secret management.",Hardened security baseline,Security Engineer,10,2,2;3,High,Medium,"Include abuse controls linked with fail2ban_service signals."
7.1,Security and Ops,Observability and SLO setup,"Centralized logging, request correlation, dashboards, alerts, basic SLOs.",Observability stack and alerting,SRE/DevOps,10,2,2,Medium,Medium,"Mandatory before production cutover to microservice topology."
7.2,Security and Ops,Container and deployment readiness,"Finalize docker-compose profiles and deployment manifests per environment.",Deployable containerized stack,DevOps,8,2,2;7.1,Medium,High,"Align with service health checks and startup ordering."
8,Quality,Automated test foundation,"Introduce unit + integration test framework per critical service and CI enforcement.",Automated tests in CI,QA Lead + Backend Team,14,3,3.1;3.2,High,Medium,"Current backend test command is placeholder; this is a major quality gap."
8.1,Quality,Contract and end-to-end tests,"Add cross-service contract tests and end-to-end gameplay + trade scenarios.",Contract and E2E test suite,QA + Automation Engineer,12,2,8,High,Medium,"Cover buy/sell/trade and wallet ownership verification journeys."
8.2,Quality,Performance and soak tests,"Run load and soak tests for game socket and trade APIs under realistic concurrency.",Performance report with tuning actions,Performance Engineer,8,2,6.1;8.1,Medium,Medium,"Use representative traffic mix before go-live decision."
9,Release,Cutover and rollback rehearsal,"Execute staged cutover plan with rollback drills for gateway/data/event changes.",Go-live runbook and rehearsal signoff,Tech Lead + DevOps,8,1,4.1;5;7.2;8.1,High,Medium,"No production cutover without rehearsal pass."
9.1,Release,Documentation and handover,"Update architecture/runbook/ops docs and hand over to operations team.",Updated docs and handover completion,Tech Lead + Ops,4,1,9,Low,High,"Keep ARCHITECTURE, runbook, and service map synchronized."
